Trip ID,Destination,Start date,End date,Duration (days),Traveler name,Traveler age,Traveler gender,Traveler nationality,Accommodation type,Accommodation cost,Transportation type,Transportation cost,review,Rating
109,Bali,08-12-2022,8/20/2022,8,Lisa Chen,30,Female,Taiwan,Resort,1500,Plane,1200,Great location with beat view of kathmandu valley. You can enjoy nature monkeys and the view.,5
110,Sydney,07-01-2022,07-10-2022,9,David Kim,26,Male,Canada,Hostel,300,Plane,900,"wonderful temple with amazing view of Kathmandu city .
There was a lots of monkeys around the temple .",3
111,London,06-10-2022,6/15/2022,5,Emily Wong,38,Female,United Kingdom,Hotel,900,Train,150,Beautiful religious place with great atmosphere. You can see the whole city from up there. I do recommend visiting for foreigners coming for the first time. Beware of the monkeys and get ready to have your cameras out. There are a ton of â€¦,4
112,Phuket,09-05-2022,09-12-2022,7,Mark Tan,45,Male,Singapore,Villa,2000,Plane,700,Swayambhu or the monkey temple is among the oldest religious sites in Nepal.,5
113,Rome,05-01-2022,05-08-2022,7,Emma Lee,31,Female,Italy,Hotel,1100,Train,250,Ancient stupa deating back more than 2000 years situated on the top of padmagiri mountain in walkable disance from downtown. There are several ways to climb the mountain to the stupa. But the stairway is most famous and scenic one with 365 â€¦,4
114,Santorini,7/15/2022,7/22/2022,7,George Chen,27,Male,Greece,Airbnb,1000,Ferry,150,"Beautiful place, great atmosphere and monkeys are a plus to the place.",4
115,Dubai,8/25/2022,8/30/2022,5,Sophia Kim,29,Female,United Arab Emirates,Hotel,1500,Car rental,300,It is one of the world heritage site of the world.It is also known as Monkey Temple.,5
116,Phnom Penh,09-10-2022,9/15/2022,5,Alex Ng,33,Male,Cambodia,Hostel,200,Plane,500,this the syambhunath which is famous for monkey temple. its main stream of boudha. its world heritage site. do not miss visit it.thank you,4
117,"Tokyo, Japan",02-05-2022,2/14/2022,9,Alice Smith,32,Female,American,Hotel,1000,Plane,700,It is a great place to seek spiritual power the sense of peace is present in that place. I really go there in morning for a runs and you see people praying and that is really good for your mental health too. So great place surely recommended to go there.,5
118,"Paris, France",3/15/2022,3/22/2022,7,Bob Johnson,47,Male,Canadian,Hotel,1200,Train,500,The place is beautiful. I've been going there for quite a while it's all jungle and at the top a temple if we decide to reach the top from back of the mountain it's very peaceful and mind blowing but there might be too many monkeys,5
119,"Sydney, Aus",05-01-2022,05-12-2022,11,Cindy Chen,26,Female,Chinese,Airbnb,800,Plane,1000,Chill area but aware of monkey we can see whole Kathmandu from here,4
120,"Rome, Italy",06-10-2022,6/17/2022,7,David Lee,38,Male,Korean,Hotel,900,Train,400,Buddhist temple is awesome and nice to see the temple . Very peaceful place,4
121,"Bali, Indonesia",7/20/2022,7/30/2022,10,Emily Kim,29,Female,Korean,Hostel,500,Plane,800,"Amazing place. You must visit it, when you are in Kathmandu.",4
122,"Cancun, Mexico",08-08-2022,8/16/2022,8,Frank Li,41,Male,American,Hotel,1300,Plane,600,Loved this place. Beautiful destinationwith lots of monkeys and dogs,5
123,"Athens, Greece",9/20/2022,9/30/2022,10,Gina Lee,35,Female,Korean,Airbnb,700,Plane,900,Best place to spend time and view of Kathmandu â¤ï¸,4
124,"Tokyo, Japan",10-05-2022,10/13/2022,8,Henry Kim,24,Male,Korean,Hotel,1200,Plane,700,"Bustling with activityâ€¦ great views, reasonable rates for tourists to shop",5
125,"Sydney, Aus",11-11-2022,11/21/2022,10,Isabella Chen,30,Female,Chinese,Airbnb,900,Plane,1000,Historical places of Nepal. Every one must visit at least once to get life time memory,4
126,"Paris, France",12/24/2022,01-01-2023,8,Jack Smith,28,Male,American,Hostel,400,Plane,700,"It is a unique world heritage, it is mythical, grandeur, and the most significant landmark in the entire Kathmandu valley. Photo and video taken from Buddha Purnima/Jayanti 16 May2022. A visit for understanding and experiencing  the â€¦",5
127,"Bali, Indonesia",02-10-2023,2/18/2023,8,Katie Johnson,33,Female,Canadian,Hotel,800,Plane,800,Self existed godly entity and Buddhist landmark has pristine beauty of surrounding valley. Panorama view of Kathmandu valley and surrounding mountains from Western corner of Kathmandu is breathtaking. Centuries old art culture and â€¦,3
128,,,,,,,,,,,,,Serene environment. Blissful place.. Darshan arrangements good,5
129,"Paris, France",05-01-2023,05-07-2023,6,John Doe,35,Male,American,Hotel,5000,Airplane,2500,"Swayambhu Stupa also known by the name of ""The Monkey Temple"" is one of the most worshipped place in Nepal and one of my favourite place to be. The main entrance to the stupa has 365 steps but all worth it as the city view from the top is â€¦",4
130,"Tokyo, Japan",5/15/2023,5/22/2023,7,Jane Smith,28,Female,British,Airbnb,7000,Train,1500,It is a famous holy place of Nepal where a lot of tourists come to visit yearly. It is famous for Lord Buddha stup.,4
131,"Cape Town, South Africa",06-01-2023,06-10-2023,9,Michael Johnson,45,Male,South African,Hostel,3000,Car,2000,"A citadel of Hindu-Buddhist fusion, resting atop a hill, the complex presents an apt picture of an ancient era with a sense of absolute serenity.",3
132,"Sydney, Australia",6/15/2023,6/21/2023,6,Sarah Lee,31,Female,Australian,Hotel,6000,Airplane,3000,"Swayambhunath Stupa, also known as â€œMonkey Templeâ€ is located on the hilltop in the Northwest of Kathmandu Valley. It is a peaceful place where the beautiful panoramic view of the Kathmandu city can be observed. It is said that the glory of â€¦",4
133,"Rome, Italy",07-01-2023,07-08-2023,7,David Kim,42,Male,Korean,Airbnb,4000,Train,1500,An ancient religious stupa on top of the hill. One of the best places to see 3/4 of Kathmandu valley from the height. This  place which gives peace and calmness. It is also know as â€œmonkey templeâ€ among foreigners as monkeys can be found in and around the stupa. A must visit place in Kathmandu valley.,4
134,"New York City, USA",7/15/2023,7/22/2023,7,Emily Davis,27,Female,American,Hotel,8000,Airplane,2500,The swayambhunath is very peaceful and good. You can relax here and view Kathmandu from above.,3
135,"Rio de Janeiro, Brazil",08-01-2023,08-10-2023,9,Jose Perez,37,Male,Brazilian,Hostel,2500,Car,2000,"An interesting place mostly because we meet there a lot of Tibetan people. There is even a Tibetan clinic.
But of course, this place is more like a pilgrimage for Buddhist people. â€¦",1
136,"Vancouver, Canada",8/15/2023,8/21/2023,6,Emma Wilson,29,Female,Canadian,Hotel,5000,Airplane,3000,Good place to visit. Nice view of ktm from top of the Swayambhu.,3
137,"Bangkok, Thailand",09-01-2023,09-08-2023,7,Ryan Chen,34,Male,Chinese,Hostel,2000,Train,1000,Must visit place in Kathmandu. You get a beautiful view of the whole city at the top. The temples and statues are also beautiful.,3
138,"Barcelona, Spain",9/15/2023,9/22/2023,7,Sofia Rodriguez,25,Female,Spanish,Airbnb,6000,Airplane,2500,"Swayambhunath is among the oldest religious sites inÂ Nepal. According to theÂ GopÄlarÄjavaá¹ƒÅ›ÄvalÄ«, it was founded by the great-grandfather ofÂ King MÄnadevaÂ (464-505 CE),Â King Vá¹›sadeva, about the beginning of the 5th century CE. This seems to â€¦",4
139,"Auckland, New Zealand",10-01-2023,10-08-2023,7,William Brown,39,Male,New Zealander,Hotel,7000,Train,2500,"Swayambhunath the oldest religious sites in Nepal, founded about the beginning of the 5th century CE. Also known as the Monkey Temple.",3
